articleTitle,articleLink,discussionResult,discussionResultDate,totalUser,totalPosts,totalWords,totalChars,keepVote,deleteVote,otherVotesCount,generalNotabilityCount,eventNotabilityCount,orgNotabilityCount,otherNotabilityCount,revClosestDate,revClosestID,revEditSize,revPageTitle
Pantanal Linhas Aéreas Flight 4763,/wiki/Wikipedia:Articles_for_deletion/Pantanal_Linhas_A%C3%A9reas_Flight_4763,delete,2019-10-28 17:48:00,12,8,298,1839,0,8,0,1,0,0,5,2019-09-09 12:32:05,914797200,57,Wikipedia:Notability_(events)
Southampton F.C. 0–9 Leicester City F.C.,/wiki/Wikipedia:Articles_for_deletion/Southampton_F.C._0%E2%80%939_Leicester_City_F.C.,keep,2019-10-28 07:44:00,24,18,891,5252,13,1,4,2,1,0,4,2019-10-23 05:49:41,922609092,3,Wikipedia:Notability_(organizations_and_companies)
Broken Tour,/wiki/Wikipedia:Articles_for_deletion/Broken_Tour,keep,2019-10-20 22:50:00,9,4,139,846,0,0,4,1,0,0,0,2019-09-09 12:32:05,914797200,57,Wikipedia:Notability_(events)
Air Canada Flight 018 Stowaway Incident,/wiki/Wikipedia:Articles_for_deletion/Air_Canada_Flight_018_Stowaway_Incident,keep,2019-10-19 00:06:00,34,28,1268,8066,11,9,8,1,1,0,14,2019-09-09 12:32:05,914797200,57,Wikipedia:Notability_(events)
Volunteer Slam I,/wiki/Wikipedia:Articles_for_deletion/Volunteer_Slam_I,redirect,2019-10-17 19:06:00,6,2,105,597,0,0,2,1,1,0,14,2019-09-09 12:32:05,914797200,57,Wikipedia:Notability_(events)
Thomson Airways flight BY-1526,/wiki/Wikipedia:Articles_for_deletion/Thomson_Airways_flight_BY-1526,no consensus,2019-10-17 15:14:00,23,21,2167,13218,5,7,6,4,0,0,5,2019-09-09 12:32:05,914797200,57,Wikipedia:Notability_(events)
2018 African Weightlifting Championships,/wiki/Wikipedia:Articles_for_deletion/2018_African_Weightlifting_Championships,keep,2019-10-14 01:23:00,12,5,228,1409,4,0,1,0,0,0,6,2019-09-09 12:32:05,914797200,57,Wikipedia:Notability_(events)
Sichuan Airlines Flight 8633,/wiki/Wikipedia:Articles_for_deletion/Sichuan_Airlines_Flight_8633,keep,2019-10-11 16:16:00,18,12,404,2434,7,0,5,1,0,0,1,2019-09-09 12:32:05,914797200,57,Wikipedia:Notability_(events)
Genealogías feministas en el arte español,/wiki/Wikipedia:Articles_for_deletion/Genealog%C3%ADas_feministas_en_el_arte_espa%C3%B1ol,keep,2019-10-11 19:56:00,9,2,69,406,2,0,0,0,0,0,1,2019-09-09 12:32:05,914797200,57,Wikipedia:Notability_(events)
Elizabeth Shin,/wiki/Wikipedia:Articles_for_deletion/Elizabeth_Shin,rename,2019-10-10 03:25:00,22,19,644,3945,3,8,8,3,2,0,6,2019-09-09 12:32:05,914797200,57,Wikipedia:Notability_(events)
2019 Najran attack,/wiki/Wikipedia:Articles_for_deletion/2019_Najran_attack,keep,2019-10-10 06:13:00,17,10,460,2782,4,0,6,0,0,0,1,2019-09-09 12:32:05,914797200,57,Wikipedia:Notability_(events)
MusicLearningLive,/wiki/Wikipedia:Articles_for_deletion/MusicLearningLive,delete,2019-10-05 14:27:00,7,1,11,77,0,1,0,2,0,0,0,2019-09-09 12:32:05,914797200,57,Wikipedia:Notability_(events)
Jeju Air Flight 502,/wiki/Wikipedia:Articles_for_deletion/Jeju_Air_Flight_502,delete,2019-10-05 13:43:00,9,3,169,1093,0,3,0,0,0,0,2,2019-09-09 12:32:05,914797200,57,Wikipedia:Notability_(events)
